Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;3;null;null;null;null;null
28/02/2018;1;null;null;null;null;null
31/03/2018;1;null;null;null;null;null
30/04/2018;null;null;null;null;null;null
31/05/2018;null;null;null;null;null;null
30/06/2018;null;null;null;null;null;null
31/07/2018;null;null;null;null;null;null
31/08/2018;null;null;null;null;null;null
30/09/2018;null;null;null;null;null;null
31/10/2018;null;null;null;null;null;null
30/11/2018;null;null;null;null;null;null
31/12/2018;null;null;null;null;null;null
31/01/2019;null;null;null;null;null;null
28/02/2019;null;null;null;null;null;null
31/03/2019;null;null;null;null;null;null
30/04/2019;null;null;null;null;null;null
31/05/2019;null;null;null;null;null;null
30/06/2019;null;null;null;null;null;null
31/07/2019;null;null;null;null;null;null
31/08/2019;null;null;null;null;null;null
30/09/2019;null;null;null;null;null;null
31/10/2019;null;null;null;null;null;null
30/11/2019;null;null;null;null;null;null
31/12/2019;null;null;null;null;null;null
31/01/2020;null;null;null;null;null;null
29/02/2020;null;null;null;null;null;null
31/03/2020;null;null;null;null;null;null
30/04/2020;null;null;null;null;null;null
31/05/2020;null;null;null;null;null;null
30/06/2020;null;null;null;null;null;null
31/07/2020;null;null;null;null;null;null
31/08/2020;null;null;null;null;null;null
30/09/2020;null;null;null;null;null;null
31/10/2020;null;null;null;null;null;null
30/11/2020;null;null;null;null;null;null
31/12/2020;null;null;null;null;null;null
31/01/2021;null;null;null;null;null;null
28/02/2021;null;null;null;null;null;null
31/03/2021;null;null;null;null;null;null
30/04/2021;null;null;null;null;null;null
31/05/2021;null;null;null;null;null;null
30/06/2021;null;null;null;null;null;null
31/07/2021;null;null;null;null;null;null
31/08/2021;null;null;null;null;null;null
30/09/2021;null;null;null;null;null;null
31/10/2021;8;null;null;24,005915;null;null
30/11/2021;14;359,6;935,219149;23,44651;null;null
31/12/2021;19;396,6;934,59102;23,400505;null;null
